Plants Non-Toxic to Cats
Flame African Violet | Flame violet, Red violet  | Episcia reptans | Gesneriaceae
Flame of the Woods | Maui sunset  | Ixora coccinea | Rubiaceae
Florida Butterfly Orchid | Encyclia tampensis  | Butterfly orchid  | Encyclia tampensis | Orchidaceae
Florida Butterfly Orchid | Epidendrum tampense  | Scarlet Orchid  | Epidendrum tampense | Orchidaceae
Fluffy Ruffles |   | Nephrolepsis exalta | Family:
Forster Sentry Palm | Kentia palm  | Howea forsteriana | Palmea
Fortunes Palm | Chusan palm  | Trachycarpus fortunei | Palmae
Freckle Face | Polka Dot Plant, Measles Plant, Flamingo Plant, Baby’s Tears  | Hypoestes phyllostachya | Acanthaceae
Friendship Plant |   | Pilea involucrata | Pilaceae
Garden Marigold | Marigold, Mary Bud, Gold bloom, Pot marigold  | Calendula officinalis | Compositae
Garden Snapdragon |   | Antirrhinum majus | Scrophulariaceae
Gerber Daisy | Transvaal Daisy, African Daisy, Veldt Daisy, Gerbera Daisy, Barberton Daisy  | Gerbera jamesonii | Compositae
German Violet | Arabian gentian, Persian violet  | Exacum affine | Gentianaceae
Gherkins | Immature cucumbers  | Cucumis sativus | Cucurbitaceae
Ghost Leafless Orchid | Leafless ghost orchid  | Polyrrhiza lindenii | Orchidaceae
Ghost Plant | Mother of Pearl  | Sedum weinbergii | Crassulaceae
Giant Aster |   | Townsendia sericea | Asteraceae
Giant Holly Fern | Sword fern, Wester sword, imbricate sword fern  | Ploystichum munitum | Polypodaceae
Giant Touch-Me-Not | Buzzy Lizzie, Impatience Plant, Patient Lucy, Patient Plant, Tangerine Impatience  | Impatiens spp. | Balsaminaceae
Giant White Inch Plant |   | Albiflora spp. | Commelinaceae
Globe Thistle |   | Echinops spp. | Asteraceae
Gloxinia |   | Sinningia speciosa | Gesneriaceae
Gold Bloom | Marigold, Mary Bud, Garden Marigold, Pot Marigold  | Calendula officinalis | Compositae
Gold-Fish Plant | Candy Corn Plant  | Hypocyrta nummularia | Gesneriaceae
